observation,event,start,obs_start,obs_end
sseq105100204,Shot_Saved_Pressure,3472,1,3473
sseq105100205,Shot_Blocked_NoPressure,2,1,3
sseq105100206,Shot_Saved_NoPressure,2,1,3
sseq105100207,Pass_Complete_Pressure,2,1,5576
sseq105100207,Challenge_Pressure,2905,1,5576
sseq105100207,Pass_Complete_Pressure,2905,1,5576
sseq105100207,Interception,4240,1,5576
sseq105100207,Pass_Complete_LooseBall,4240,1,5576
sseq105100207,Interception,5575,1,5576
sseq105100207,Shot_Blocked_NoPressure,5575,1,5576
sseq105100208,Interception,2,1,10414
sseq105100208,Pass_Complete_NoPressure,2,1,10414
sseq105100208,Interception,3906,1,10414
sseq105100208,Pass_Complete_Anticipation,3906,1,10414
sseq105100208,Interception,8511,1,10414
sseq105100208,Pass_Complete_NoPressure,8511,1,10414
sseq105100208,Interception,10413,1,10414
sseq105100208,Shot_Blocked_Pressure,10413,1,10414
sseq105100209,Interception,2,1,2539
sseq105100209,Pass_Complete_NoPressure,2,1,2539
sseq105100209,Interception,2538,1,2539
sseq105100209,Shot_Saved_NoPressure,2538,1,2539
sseq105100210,Interception,2,1,6576
sseq105100210,Challenge_Pressure,2,1,6576
sseq105100210,Cross_Incomplete_NoPressure,2,1,6576
sseq105100210,Interception,3538,1,6576
sseq105100210,Pass_Complete_NoPressure,3538,1,6576
sseq105100210,Shot_Saved_Pressure,6575,1,6576
sseq105100212,Interception,2,1,3
sseq105100212,Shot_Blocked_Pressure,2,1,3
sseq105100213,Interception,2,1,6343
sseq105100213,Pass_Complete_Pressure,2,1,6343
sseq105100213,Interception,2104,1,6343
sseq105100213,Pass_Complete_Pressure,2104,1,6343
sseq105100213,Interception,3673,1,6343
sseq105100213,Pass_Complete_Pressure,3673,1,6343
sseq105100213,Shot_Blocked_Pressure,6342,1,6343
sseq105100214,Shot_Blocked_Pressure,2,1,3
sseq105100215,Pass_Complete_NoPressure,2,1,24594
sseq105100215,Interception,569,1,24594
sseq105100215,Pass_Complete_NoPressure,569,1,24594
sseq105100215,Interception,3139,1,24594
sseq105100215,Pass_Complete_Pressure,3139,1,24594
sseq105100215,Interception,7076,1,24594
sseq105100215,Pass_Complete_NoPressure,7076,1,24594
sseq105100215,Interception,11614,1,24594
sseq105100215,Pass_Complete_NoPressure,11614,1,24594
sseq105100215,Pass_Complete_NoPressure,15117,1,24594
sseq105100215,Interception,16919,1,24594
sseq105100215,Pass_Complete_NoPressure,16919,1,24594
sseq105100215,Interception,20956,1,24594
sseq105100215,Pass_Complete_Pressure,20956,1,24594
sseq105100215,Pass_Complete_Pressure,22791,1,24594
sseq105100215,Interception,24593,1,24594
sseq105100215,Shot_Saved_Pressure,24593,1,24594
sseq105100217,Interception,2,1,4207
sseq105100217,Cross_Incomplete_NoPressure,2,1,4207
sseq105100217,Shot_Saved_Pressure,4206,1,4207
sseq105110223,Shot_Blocked_LooseBall,2,1,3
sseq105110226,Pass_Complete_Anticipation,2,1,14417
sseq105110226,Interception,769,1,14417
sseq105110226,Pass_Complete_NoPressure,769,1,14417
sseq105110226,Interception,3739,1,14417
sseq105110226,Pass_Complete_NoPressure,3739,1,14417
sseq105110226,Interception,7243,1,14417
sseq105110226,Pass_Complete_NoPressure,7243,1,14417
sseq105110226,Pass_Complete_Anticipation,11447,1,14417
sseq105110226,Interception,12882,1,14417
sseq105110226,Pass_Complete_NoPressure,12882,1,14417
sseq105110226,Shot_Saved_Pressure,14416,1,14417
sseq105110228,Challenge_Pressure,2,1,4974
sseq105110228,Interception,2471,1,4974
sseq105110228,Pass_Complete_NoPressure,2471,1,4974
sseq105110228,Challenge_Pressure,4973,1,4974
sseq105110228,Shot_Saved_Pressure,4973,1,4974
sseq105110232,Challenge_Pressure,2,1,1337
sseq105110232,Pass_Complete_Pressure,2,1,1337
sseq105110232,Shot_Blocked_Pressure,1336,1,1337
sseq105110233,Shot_Blocked_NoPressure,2,1,3
sseq105110236,Cross_Incomplete_NoPressure,2,1,2005
sseq105110236,Shot_Blocked_NoPressure,2004,1,2005
sseq105110237,Shot_Blocked_NoPressure,2,1,3
sseq105110239,Pass_Complete_NoPressure,2,1,4775
sseq105110239,Interception,2038,1,4775
sseq105110239,Pass_Complete_NoPressure,2038,1,4775
sseq105110239,Interception,4774,1,4775
sseq105110239,Shot_Blocked_NoPressure,4774,1,4775
sseq105110241,Interception,2,1,16219
sseq105110241,Pass_Complete_NoPressure,2,1,16219
sseq105110241,Interception,3305,1,16219
sseq105110241,Pass_Complete_Pressure,3305,1,16219
sseq105110241,Interception,7642,1,16219
sseq105110241,Pass_Complete_NoPressure,7642,1,16219
sseq105110241,Pass_Complete_NoPressure,11046,1,16219
sseq105110241,Pass_Complete_Pressure,13182,1,16219
sseq105110241,Shot_Saved_Pressure,16218,1,16219
sseq105110242,Interception,2,1,6042
sseq105110242,Pass_Complete_NoPressure,2,1,6042
sseq105110242,Interception,1803,1,6042
sseq105110242,Pass_Complete_NoPressure,1803,1,6042
sseq105110242,Interception,3338,1,6042
sseq105110242,Pass_Complete_Pressure,3338,1,6042
sseq105110242,Interception,4873,1,6042
sseq105110242,Pass_Complete_Anticipation,4873,1,6042
sseq105110242,Interception,6041,1,6042
sseq105110242,Shot_Blocked_Pressure,6041,1,6042
sseq105120244,Cross_Incomplete_NoPressure,2,1,1371
sseq105120244,Shot_Saved_Pressure,1370,1,1371
sseq105120246,Shot_Blocked_Anticipation,2,1,3
sseq105120249,Interception,2,1,3
sseq105120249,Shot_Blocked_LooseBall,2,1,3
sseq105120251,Pass_Complete_Anticipation,2,1,2039
sseq105120251,Interception,2038,1,2039
sseq105120251,Shot_Saved_LooseBall,2038,1,2039
sseq105120256,Cross_Incomplete_NoPressure,2,1,1204
sseq105120256,Challenge_Pressure,1203,1,1204
sseq105120256,Shot_Saved_Pressure,1203,1,1204
sseq105120261,Interception,2,1,3640
sseq105120261,Pass_Complete_Anticipation,2,1,3640
sseq105120261,Pass_Complete_Pressure,2371,1,3640
sseq105120261,Shot_Saved_LooseBall,3639,1,3640
